Genre,Category,Refined Category
African Rock,Rock,World Music
Album Rock,Rock,Rock
Alternative Pop Rock,Rock,Rock
Alternative Rock,Rock,Rock
Alternative Roots Rock,Rock,Rock
Argentine Rock,Rock,Rock
Art Rock,Rock,Rock
Atmospheric Post Rock,Rock,Rock
Australian Alternative Rock,Rock,Rock
Basque Rock,Rock,Rock
Belgian Rock,Rock,Rock
Blues-rock,Rock,Rock
Blues-rock Guitar,Rock,Rock
Boston Rock,Rock,Rock
British Alternative Rock,Rock,Rock
British Indie Rock,Rock,Rock
Bulgarian Rock,Rock,Rock
Celtic Rock,Rock,Rock
Chilean Rock,Rock,Rock
Chinese Indie Rock,Rock,Rock
Christian Alternative Rock,Rock,Rock
Christian Rock,Rock,Rock
Classic Finnish Rock,Rock,Rock
Classic Funk Rock,Rock,Rock
Classic Garage Rock,Rock,Rock
Classic Psychedelic Rock,Rock,Rock
Classic Rock,Rock,Rock
Classic Russian Rock,Rock,Rock
Colombian Rock,Rock,Rock
Comedy Rock,Rock,Rock
Country Rock,Rock,Rock
Crack Rock Steady,Rock,Rock
Czech Rock,Rock,Rock
Dance Rock,Rock,Rock
Danish Pop Rock,Rock,Rock
Deep Christian Rock,Rock,Rock
Deep Classic Garage Rock,Rock,Rock
Deep Indie Rock,Rock,Rock
Deep Melodic Hard Rock,Rock,Rock
Deep Punk Rock,Rock,Rock
Deep Soft Rock,Rock,Rock
Deep Space Rock,Rock,Rock
Dutch Rock,Rock,Rock
Experimental Rock,Rock,Rock
Folk Rock,Rock,Rock
French Rock,Rock,Rock
Funk Rock,Rock,Rock
Garage Rock,Rock,Rock
Geek Rock,Rock,Rock
German Pop Rock,Rock,Rock
Glam Rock,Rock,Rock
Gothic Rock,Rock,Rock
Hard Rock,Rock,Rock
Hard Stoner Rock,Rock,Rock
Heavy Gothic Rock,Rock,Rock
Hungarian Rock,Rock,Rock
Indian Rock,Rock,Rock
Indie Emo Rock,Rock,Rock
Indie Pop Rock,Rock,Rock
Indie Rock,Rock,Rock
Indorock,Rock,Rock
Industrial Rock,Rock,Rock
Instrumental Post Rock,Rock,Rock
Irish Rock,Rock,Rock
Israeli Rock,Rock,Rock
Italian Pop Rock,Rock,Rock
Italian Progressive Rock,Rock,Rock
J-poprock,Rock,Rock
J-rock,Rock,Rock
Jangle Rock,Rock,Rock
K-rock,Rock,Rock
Kiwi Rock,Rock,Rock
Kraut Rock,Rock,Rock
Lovers Rock,Rock,Rock
Math Rock,Rock,Rock
Medieval Rock,Rock,Rock
Melodic Hard Rock,Rock,Rock
Mexican Rock-and-roll,Rock,Rock
Modern Country Rock,Rock,Rock
Modern Southern Rock,Rock,Rock
Neo-industrial Rock,Rock,Rock
Neo-rockabilly,Rock,Rock
Noise Rock,Rock,Rock
Norwegian Rock,Rock,Rock
Ostrock,Rock,Rock
Peruvian Rock,Rock,Rock
Piano Rock,Rock,Rock
Pop Rock,Rock,Rock
Portuguese Rock,Rock,Rock
Post Rock,Rock,Rock
Power Blues-rock,Rock,Rock
Progressive Rock,Rock,Rock
Psychedelic Blues-rock,Rock,Rock
Psychedelic Rock,Rock,Rock
Pub Rock,Rock,Rock
Puerto Rican Rock,Rock,Rock
Rap Rock,Rock,Rock
Reggae Rock,Rock,Rock
Rock,Rock,Rock
Rock Catala,Rock,Rock
Rock En Espanol,Rock,Rock
Rock Gaucho,Rock,Rock
Rock Noise,Rock,Rock
Rock Steady,Rock,Rock
Rock-and-roll,Rock,Rock
Rockabilly,Rock,Rock
Romanian Rock,Rock,Rock
Roots Rock,Rock,Rock
Russian Rock,Rock,Rock
Scottish Rock,Rock,Rock
Sleaze Rock,Rock,Rock
Slovenian Rock,Rock,Rock
Soft Rock,Rock,Rock
Southern Rock,Rock,Rock
Space Rock,Rock,Rock
Spanish Indie Rock,Rock,Rock
Spanish Pop Rock,Rock,Rock
Stoner Rock,Rock,Rock
Suomi Rock,Rock,Rock
Swedish Alternative Rock,Rock,Rock
Swedish Hard Rock,Rock,Rock
Swedish Indie Rock,Rock,Rock
Swiss Rock,Rock,Rock
